Trajectories
100
,,S01:WRIST,,,S01:ELBOW,,,S01:SHLDR,,,S01:CHEST,,,S01:RHIP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
120,0,-45.7711,-143.263,1388.77,45.0182,-72.706,1176.86,269.301,-184.155,1282.67,152.778,-318.773,1233.22,263.114,-187.527,941.589
121,0,-45.6581,-143.339,1389.58,44.5616,-72.6814,1177.58,269.242,-184.029,1282.85,152.724,-318.77,1233.24,263.07,-187.524,941.575
122,0,-45.7226,-143.433,1390.42,44.2034,-72.6727,1178.27,269.136,-184.137,1282.87,152.671,-318.831,1233.33,263.011,-187.506,941.544
123,0,-45.5818,-143.861,1391.14,43.9053,-72.9371,1178.84,269.023,-184.23,1282.88,152.627,-318.851,1233.31,262.975,-187.488,941.585
124,0,-45.7039,-143.791,1391.94,43.6481,-72.9695,1179.59,268.89,-184.292,1282.92,152.6,-318.868,1233.35,262.966,-187.49,941.572
125,0,-45.59,-144.002,1392.84,43.1948,-72.8965,1180.34,268.822,-184.296,1283.07,152.611,-318.971,1233.39,262.842,-187.464,941.58
126,0,-45.5664,-144.14,1393.67,42.875,-73.0449,1181.03,268.713,-184.418,1283.08,152.503,-319.046,1233.44,262.833,-187.408,941.57
127,0,-45.6269,-144.251,1394.49,42.7186,-73.1898,1181.69,268.627,-184.316,1283.26,152.51,-319.137,1233.46,262.781,-187.394,941.586
128,0,-45.5846,-144.536,1395.3,42.5009,-73.2289,1182.46,268.558,-184.406,1283.27,152.411,-319.141,1233.53,262.772,-187.395,941.585
129,0,-45.5889,-144.696,1396.15,42.0511,-73.3002,1183.21,268.371,-184.576,1283.29,152.279,-319.236,1233.63,262.69,-187.383,941.558
130,0,-45.4505,-144.896,1396.95,41.7093,-73.4066,1183.84,268.309,-184.608,1283.38,152.306,-319.355,1233.68,262.639,-187.329,941.596
131,0,-45.5581,-144.951,1397.85,41.4249,-73.4562,1184.56,268.294,-184.518,1283.62,152.269,-319.408,1233.74,262.624,-187.33,941.616
132,0,-45.5954,-145.085,1398.64,41.1736,-73.6724,1185.3,268.198,-184.558,1283.74,152.193,-319.413,1233.78,262.589,-187.308,941.604
133,0,-45.4758,-145.313,1399.43,40.9022,-73.7835,1185.96,268.174,-184.432,1284.02,152.185,-319.546,1233.86,262.528,-187.287,941.606
134,0,-45.3679,-145.335,1400.32,40.5412,-73.6359,1186.66,268.108,-184.197,1284.3,152.2,-319.622,1233.84,262.528,-187.33,941.598
135,0,-45.3345,-145.523,1401.12,40.2749,-73.9057,1187.36,268.02,-184.2,1284.42,152.088,-319.749,1234.07,262.454,-187.281,941.609
136,0,-45.4277,-145.595,1401.93,40.1393,-73.9905,1188.02,267.912,-184.3,1284.46,152.02,-319.836,1234.13,262.379,-187.25,941.604
137,0,-45.2155,-145.828,1402.78,39.7461,-73.8803,1188.74,267.787,-184.351,1284.5,152.127,-319.874,1233.91,262.318,-187.231,941.589
138,0,-44.9478,-146.054,1403.6,39.3438,-73.8524,1189.44,267.702,-184.305,1284.69,152.322,-319.548,1233.26,262.247,-187.157,941.587
139,0,-45.0129,-146.022,1404.5,39.0898,-74.0558,1190.14,267.585,-184.372,1284.76,152.106,-319.692,1233.56,262.224,-187.167,941.609
140,0,-44.9196,-146.156,1405.38,38.9812,-74.125,1190.88,267.461,-184.329,1284.86,152.209,-319.579,1233.34,262.173,-187.076,941.619
141,0,-44.7797,-146.283,1406.21,38.7864,-74.1638,1191.59,267.284,-184.338,1284.95,152.102,-319.628,1233.35,262.114,-187.066,941.639
142,0,-44.6243,-146.388,1407.05,38.3223,-74.2433,1192.24,267.245,-184.364,1285.09,152.002,-319.596,1233.36,262.085,-187.046,941.631
143,0,-44.4443,-146.593,1407.97,38.1709,-74.2166,1193.05,267.163,-184.409,1285.16,151.998,-319.676,1233.38,262.033,-187.057,941.611
144,0,-44.3471,-146.622,1408.87,37.959,-74.232,1193.83,267.041,-184.564,1285.12,151.994,-319.757,1233.39,262.005,-187.021,941.63
145,0,-44.1042,-146.805,1409.77,37.7174,-74.4689,1194.44,266.961,-184.692,1285.11,151.887,-319.806,1233.4,261.964,-187.042,941.63
146,0,-43.9392,-146.9,1410.65,37.2961,-74.3816,1195.17,266.822,-184.782,1285.12,151.888,-319.806,1233.4,261.941,-187,941.629
147,0,-43.887,-146.915,1411.61,36.95,-74.4613,1196,266.712,-184.715,1285.33,151.781,-319.856,1233.42,261.935,-186.985,941.619
148,0,-43.6075,-147.037,1412.53,36.7915,-74.6832,1196.71,266.688,-184.673,1285.5,151.782,-319.95,1233.45,261.893,-186.976,941.633
149,0,-43.5287,-147.077,1413.48,36.4852,-74.8269,1197.41,266.61,-184.957,1285.44,151.68,-319.918,1233.46,261.827,-186.99,941.617
