Devices
1000
,,AMTI OR6 Series Force Plate - Force,,,AMTI OR6 Series Force Plate - Moment,,,AMTI OR6 Series Force Plate - CoP,,,Analog EMG - Voltage,,,,,,,,,,AMTI OR6 Series Force Plate - Force,,,AMTI OR6 Series Force Plate - Moment,,,AMTI OR6 Series Force Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,RFEM,LFEM,LHAM,RHAM,LTIB,RTIB,7,LGAS,RGAS,10,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
8,0,0.914914,-0.517593,-563.385,-43364.6,54399.9,124.269,230.559,-180.028,-3,-0.00939941,-0.000610352,-0.00408936,-0.00158691,0.00231934,0.000305176,0.000183105,0.000671387,0.000244141,0.000457764,0,0,0,0,0,0,226,252,-3
8,1,1.00039,-0.413686,-567.037,-43229.7,54091.9,123.563,229.394,-180.762,-3,-0.00680542,-0.0010376,-0.00476074,-0.00231934,0.00158691,0.000183105,0,0.000549316,0.000244141,0.000854492,0,0,0,0,0,0,226,252,-3
8,2,0.481308,-0.511414,-565.305,-43175.1,54190.8,45.9225,229.861,-180.625,-3,-0.00720215,0.00170898,-0.00354004,0.00463867,0.0022583,-6.10352e-005,0.000183105,0.000488281,0.000305176,0.000671387,0,0,0,0,0,0,226,252,-3
8,3,0.653358,-1.03246,-565.653,-43312.1,54469,210.419,230.294,-180.43,-3,-0.00384521,0.00012207,-0.00695801,0.00701904,0.00292969,6.10352e-005,0.000244141,0.000183105,0.000427246,0.00088501,0,0,0,0,0,0,226,252,-3
8,4,1.39301,-0.332374,-565.12,-43262.2,54113.5,80.8652,229.756,-180.446,-3,-0.00302124,-0.000793457,-0.00634766,0.0142822,0.0022583,0.00012207,0.00012207,0.000305176,0.000305176,0.0010376,0,0,0,0,0,0,226,252,-3
8,5,1.34837,-0.592742,-565.99,-43369.4,54248.8,132.714,229.848,-180.374,-3,-0.000762939,0.000427246,6.10352e-005,0.0143433,0.00164795,-6.10352e-005,0.000335693,0.000732422,0.000366211,0.000854492,0,0,0,0,0,0,226,252,-3
8,6,0.783342,-0.591051,-566.689,-43352.1,54176.5,192.504,229.602,-180.499,-3,0.00161743,0.0022583,0.00646973,0.00811768,0.00335693,0.000488281,0.000213623,0.000183105,-0.000244141,0.00088501,0,0,0,0,0,0,226,252,-3
8,7,0.742307,-0.334442,-565.12,-43378.7,54005.6,166.308,229.565,-180.24,-3,0.00360107,0.00115967,0.00683594,0.00256348,0.00366211,-0.000244141,0.000305176,0.000244141,0.00012207,0.00088501,0,0,0,0,0,0,226,252,-3
8,8,1.08305,0.189755,-564.945,-43240.9,54315.3,158.702,230.143,-180.46,-3,0.00183105,0.000976563,-0.00128174,0.000488281,0.00158691,-0.000549316,0.000305176,0.000244141,0.000366211,0.000946045,0,0,0,0,0,0,226,252,-3
8,9,1.04803,-0.764285,-566.514,-43358.9,53956.3,149.126,229.243,-180.464,-3,0.00088501,0.000427246,-0.00256348,0.00170898,0.00195313,0.000183105,0.00012207,0.000305176,0.000366211,0.000915527,0,0,0,0,0,0,226,252,-3
